timestamp,event_type,severity,user_id,session_id,ip_address,exchange,symbol,action,description,amount,currency,system_component,error_code
2025-06-21T00:09:40.021962+00:00,system_error,high,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,System Error Occurred,Error in Exchange connectivity: Failed to connect to Binance API,,,error_handler,ConnectionError
2025-06-21T00:09:40.021159+00:00,system_error,high,user_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,System Error Occurred,Error in Parameter validation: Invalid trading parameter: price cannot be negative,,,error_handler,ValueError
2025-06-21T00:09:40.019672+00:00,api_request_failed,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Api Request Failed,API request: DELETE /api/v1/cancel,,,system,
2025-06-21T00:09:40.018940+00:00,api_request_made,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Api Request Made,API request: GET /api/v1/trades,,,system,
2025-06-21T00:09:40.018295+00:00,api_request_made,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Api Request Made,API request: GET /api/v1/balance,,,system,
2025-06-21T00:09:40.017546+00:00,api_request_made,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Api Request Made,API request: POST /api/v1/orders,,,system,
2025-06-21T00:09:40.016910+00:00,system_error,high,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,System Error,Database connection timeout,,,system,
2025-06-21T00:09:40.016056+00:00,service_started,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Service Started,notification_service started successfully,,,system,
2025-06-21T00:09:40.015461+00:00,service_started,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Service Started,risk_manager started successfully,,,system,
2025-06-21T00:09:40.014856+00:00,service_started,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Service Started,price_monitor started successfully,,,system,
2025-06-21T00:09:40.014285+00:00,service_started,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Service Started,trading_engine started successfully,,,system,
2025-06-21T00:09:40.013516+00:00,brute_force_attempt,critical,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,attacker.network.com,,,Brute Force Attempt,Coordinated brute force attack detected,,,security_monitor,
2025-06-21T00:09:40.012549+00:00,suspicious_activity,high,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,suspicious.ip.com,,,Suspicious Activity,Multiple failed login attempts from same IP,,,security_monitor,
2025-06-21T00:09:40.011454+00:00,access_denied,high,user_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,192.168.1.100,,,Failed access denied,Access event: access_denied,,,access_control,
2025-06-21T00:09:40.010923+00:00,user_login_failed,high,unknown_user,1d059916-9df1-4f3a-aac4-1fa83fe354f6,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-21T00:09:40.010373+00:00,user_login_failed,high,unknown_user,1d059916-9df1-4f3a-aac4-1fa83fe354f6,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-21T00:09:40.009732+00:00,user_login_failed,high,unknown_user,1d059916-9df1-4f3a-aac4-1fa83fe354f6,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-21T00:09:40.009138+00:00,user_login_failed,high,unknown_user,1d059916-9df1-4f3a-aac4-1fa83fe354f6,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-21T00:09:40.008410+00:00,user_login_failed,high,unknown_user,1d059916-9df1-4f3a-aac4-1fa83fe354f6,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-21T00:09:40.007865+00:00,user_login_success,medium,trader_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,10.0.0.50,,,Successful user login success,Access event: user_login_success,,,access_control,
2025-06-21T00:09:40.007193+00:00,user_login_success,medium,trader_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,192.168.1.100,,,Successful user login success,Access event: user_login_success,,,access_control,
2025-06-21T00:09:40.006630+00:00,user_login_success,medium,user_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,10.0.0.50,,,Successful user login success,Access event: user_login_success,,,access_control,
2025-06-21T00:09:40.006066+00:00,api_key_created,low,,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Api Key Created,API key created for exchange,,,system,
2025-06-21T00:09:40.005470+00:00,config_changed,medium,admin_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Changed api_timeout,Configuration change: api_timeout,,,config_manager,
2025-06-21T00:09:40.004579+00:00,config_changed,medium,admin_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Changed risk_limit,Configuration change: risk_limit,,,config_manager,
2025-06-21T00:09:40.003836+00:00,config_changed,medium,admin_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,,,Changed trading_strategy,Configuration change: trading_strategy,,,config_manager,
2025-06-21T00:09:40.003106+00:00,fee_charged,high,user_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,Binance,,Fee Charged 12.5 USDT,Financial transaction: fee_charged,12.5,USDT,financial_manager,
2025-06-21T00:09:40.002078+00:00,withdrawal_initiated,high,user_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,Binance,,Withdrawal Initiated 1000.0 USDT,Financial transaction: withdrawal_initiated,1000.0,USDT,financial_manager,
2025-06-21T00:09:40.001448+00:00,deposit_completed,high,user_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,Binance,,Deposit Completed 5000.0 USDT,Financial transaction: deposit_completed,5000.0,USDT,financial_manager,
2025-06-21T00:09:40.000791+00:00,position_closed,medium,trader_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,Binance,BTC/USDT,LONG 0.1 BTC/USDT at 45500.0,Trade position_closed for BTC/USDT,4550.0,USDT,trading_engine,
2025-06-21T00:09:40.000078+00:00,position_opened,medium,trader_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,Binance,BTC/USDT,LONG 0.1 BTC/USDT at 45000.0,Trade position_opened for BTC/USDT,4500.0,USDT,trading_engine,
2025-06-21T00:09:39.999391+00:00,trade_order_failed,high,user_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,Binance,ADA/USDT,SELL 0.05 ADA/USDT at 45000.0,Trade trade_order_failed for ADA/USDT,2250.0,USDT,trading_engine,
2025-06-21T00:09:39.998590+00:00,trade_order_failed,high,user_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,Kraken,ETH/USDT,SELL 0.05 ETH/USDT at 45000.0,Trade trade_order_failed for ETH/USDT,2250.0,USDT,trading_engine,
2025-06-21T00:09:39.997841+00:00,trade_order_executed,medium,user_002,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,Coinbase,ETH/USDT,BUY 0.084433 ETH/USDT at 61704.5284089424,Trade trade_order_executed for ETH/USDT,5209.8984471522335,USDT,trading_engine,
2025-06-21T00:09:39.996941+00:00,trade_order_placed,medium,user_002,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,Coinbase,ETH/USDT,BUY 0.084433 ETH/USDT at 61739.08,Trade trade_order_placed for ETH/USDT,5212.81574164,USDT,trading_engine,
2025-06-21T00:09:39.995912+00:00,trade_order_executed,medium,trader_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,Binance,SOL/USDT,BUY 0.086323 SOL/USDT at 45925.91699152532,Trade trade_order_executed for SOL/USDT,3964.4629324594403,USDT,trading_engine,
2025-06-21T00:09:39.995276+00:00,trade_order_placed,medium,trader_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,Binance,SOL/USDT,BUY 0.086323 SOL/USDT at 45913.39,Trade trade_order_placed for SOL/USDT,3963.38156497,USDT,trading_engine,
2025-06-21T00:09:39.994581+00:00,trade_order_executed,medium,admin_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,Bybit,BTC/USDT,BUY 0.009651 BTC/USDT at 45419.425766918735,Trade trade_order_executed for BTC/USDT,438.3428780765327,USDT,trading_engine,
2025-06-21T00:09:39.992808+00:00,trade_order_placed,medium,admin_001,1d059916-9df1-4f3a-aac4-1fa83fe354f6,,Bybit,BTC/USDT,BUY 0.009651 BTC/USDT at 45381.34,Trade trade_order_placed for BTC/USDT,437.97531233999996,USDT,trading_engine,
2025-06-19T14:45:15.917156+00:00,system_error,high,,673c6d11-833f-43dc-b776-bc433f865bc5,,,,System Error Occurred,Error in Exchange connectivity: Failed to connect to Binance API,,,error_handler,ConnectionError
2025-06-19T14:45:15.916490+00:00,system_error,high,user_001,673c6d11-833f-43dc-b776-bc433f865bc5,,,,System Error Occurred,Error in Parameter validation: Invalid trading parameter: price cannot be negative,,,error_handler,ValueError
2025-06-19T14:45:15.914060+00:00,api_request_failed,low,,673c6d11-833f-43dc-b776-bc433f865bc5,,,,Api Request Failed,API request: DELETE /api/v1/cancel,,,system,
2025-06-19T14:45:15.913528+00:00,api_request_made,low,,673c6d11-833f-43dc-b776-bc433f865bc5,,,,Api Request Made,API request: GET /api/v1/trades,,,system,
2025-06-19T14:45:15.912992+00:00,api_request_made,low,,673c6d11-833f-43dc-b776-bc433f865bc5,,,,Api Request Made,API request: GET /api/v1/balance,,,system,
2025-06-19T14:45:15.912391+00:00,api_request_made,low,,673c6d11-833f-43dc-b776-bc433f865bc5,,,,Api Request Made,API request: POST /api/v1/orders,,,system,
2025-06-19T14:45:15.911834+00:00,system_error,high,,673c6d11-833f-43dc-b776-bc433f865bc5,,,,System Error,Database connection timeout,,,system,
2025-06-19T14:45:15.911291+00:00,service_started,low,,673c6d11-833f-43dc-b776-bc433f865bc5,,,,Service Started,notification_service started successfully,,,system,
2025-06-19T14:45:15.910583+00:00,service_started,low,,673c6d11-833f-43dc-b776-bc433f865bc5,,,,Service Started,risk_manager started successfully,,,system,
2025-06-19T14:45:15.909904+00:00,service_started,low,,673c6d11-833f-43dc-b776-bc433f865bc5,,,,Service Started,price_monitor started successfully,,,system,
2025-06-19T14:45:15.908831+00:00,service_started,low,,673c6d11-833f-43dc-b776-bc433f865bc5,,,,Service Started,trading_engine started successfully,,,system,
2025-06-19T14:45:15.908101+00:00,brute_force_attempt,critical,,673c6d11-833f-43dc-b776-bc433f865bc5,attacker.network.com,,,Brute Force Attempt,Coordinated brute force attack detected,,,security_monitor,
2025-06-19T14:45:15.907361+00:00,suspicious_activity,high,,673c6d11-833f-43dc-b776-bc433f865bc5,suspicious.ip.com,,,Suspicious Activity,Multiple failed login attempts from same IP,,,security_monitor,
2025-06-19T14:45:15.906473+00:00,access_denied,high,user_001,673c6d11-833f-43dc-b776-bc433f865bc5,192.168.1.100,,,Failed access denied,Access event: access_denied,,,access_control,
2025-06-19T14:45:15.905304+00:00,user_login_failed,high,unknown_user,673c6d11-833f-43dc-b776-bc433f865bc5,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-19T14:45:15.901893+00:00,user_login_failed,high,unknown_user,673c6d11-833f-43dc-b776-bc433f865bc5,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-19T14:45:15.901311+00:00,user_login_failed,high,unknown_user,673c6d11-833f-43dc-b776-bc433f865bc5,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-19T14:45:15.900594+00:00,user_login_failed,high,unknown_user,673c6d11-833f-43dc-b776-bc433f865bc5,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-19T14:45:15.899898+00:00,user_login_failed,high,unknown_user,673c6d11-833f-43dc-b776-bc433f865bc5,suspicious.ip.com,,,Failed user login failed,Access event: user_login_failed,,,access_control,
2025-06-19T14:45:15.899297+00:00,user_login_success,medium,admin_001,673c6d11-833f-43dc-b776-bc433f865bc5,192.168.1.100,,,Successful user login success,Access event: user_login_success,,,access_control,
2025-06-19T14:45:15.898735+00:00,user_login_success,medium,user_002,673c6d11-833f-43dc-b776-bc433f865bc5,10.0.0.50,,,Successful user login success,Access event: user_login_success,,,access_control,
2025-06-19T14:45:15.898155+00:00,user_login_success,medium,trader_001,673c6d11-833f-43dc-b776-bc433f865bc5,192.168.1.100,,,Successful user login success,Access event: user_login_success,,,access_control,
2025-06-19T14:45:15.897536+00:00,api_key_created,low,,673c6d11-833f-43dc-b776-bc433f865bc5,,,,Api Key Created,API key created for exchange,,,system,
2025-06-19T14:45:15.896644+00:00,config_changed,medium,admin_001,673c6d11-833f-43dc-b776-bc433f865bc5,,,,Changed api_timeout,Configuration change: api_timeout,,,config_manager,
2025-06-19T14:45:15.894831+00:00,config_changed,medium,admin_001,673c6d11-833f-43dc-b776-bc433f865bc5,,,,Changed risk_limit,Configuration change: risk_limit,,,config_manager,
2025-06-19T14:45:15.892328+00:00,config_changed,medium,admin_001,673c6d11-833f-43dc-b776-bc433f865bc5,,,,Changed trading_strategy,Configuration change: trading_strategy,,,config_manager,
2025-06-19T14:45:15.891475+00:00,fee_charged,high,user_001,673c6d11-833f-43dc-b776-bc433f865bc5,,Binance,,Fee Charged 12.5 USDT,Financial transaction: fee_charged,12.5,USDT,financial_manager,
2025-06-19T14:45:15.890036+00:00,withdrawal_initiated,high,user_001,673c6d11-833f-43dc-b776-bc433f865bc5,,Binance,,Withdrawal Initiated 1000.0 USDT,Financial transaction: withdrawal_initiated,1000.0,USDT,financial_manager,
2025-06-19T14:45:15.889065+00:00,deposit_completed,high,user_001,673c6d11-833f-43dc-b776-bc433f865bc5,,Binance,,Deposit Completed 5000.0 USDT,Financial transaction: deposit_completed,5000.0,USDT,financial_manager,
2025-06-19T14:45:15.887874+00:00,position_closed,medium,trader_001,673c6d11-833f-43dc-b776-bc433f865bc5,,Binance,BTC/USDT,LONG 0.1 BTC/USDT at 45500.0,Trade position_closed for BTC/USDT,4550.0,USDT,trading_engine,
2025-06-19T14:45:15.886624+00:00,position_opened,medium,trader_001,673c6d11-833f-43dc-b776-bc433f865bc5,,Binance,BTC/USDT,LONG 0.1 BTC/USDT at 45000.0,Trade position_opened for BTC/USDT,4500.0,USDT,trading_engine,
2025-06-19T14:45:15.885868+00:00,trade_order_failed,high,user_001,673c6d11-833f-43dc-b776-bc433f865bc5,,Binance,ETH/USDT,SELL 0.05 ETH/USDT at 45000.0,Trade trade_order_failed for ETH/USDT,2250.0,USDT,trading_engine,
2025-06-19T14:45:15.883283+00:00,trade_order_failed,high,admin_001,673c6d11-833f-43dc-b776-bc433f865bc5,,Binance,ETH/USDT,SELL 0.05 ETH/USDT at 45000.0,Trade trade_order_failed for ETH/USDT,2250.0,USDT,trading_engine,
2025-06-19T14:45:15.882287+00:00,trade_order_executed,medium,trader_001,673c6d11-833f-43dc-b776-bc433f865bc5,,Kraken,BTC/USDT,BUY 0.03238 BTC/USDT at 42786.748721747696,Trade trade_order_executed for BTC/USDT,1385.4349236101903,USDT,trading_engine,
2025-06-19T14:45:15.881422+00:00,trade_order_placed,medium,trader_001,673c6d11-833f-43dc-b776-bc433f865bc5,,Kraken,BTC/USDT,BUY 0.03238 BTC/USDT at 42755.74,Trade trade_order_placed for BTC/USDT,1384.4308612,USDT,trading_engine,
2025-06-19T14:45:15.880665+00:00,trade_order_executed,medium,trader_001,673c6d11-833f-43dc-b776-bc433f865bc5,,Kraken,SOL/USDT,BUY 0.009329 SOL/USDT at 57740.059198213785,Trade trade_order_executed for SOL/USDT,538.6570122601364,USDT,trading_engine,
2025-06-19T14:45:15.879880+00:00,trade_order_placed,medium,trader_001,673c6d11-833f-43dc-b776-bc433f865bc5,,Kraken,SOL/USDT,BUY 0.009329 SOL/USDT at 57771.18,Trade trade_order_placed for SOL/USDT,538.94733822,USDT,trading_engine,
2025-06-19T14:45:15.879042+00:00,trade_order_executed,medium,user_001,673c6d11-833f-43dc-b776-bc433f865bc5,,Coinbase,ETH/USDT,BUY 0.009009 ETH/USDT at 44647.707303608746,Trade trade_order_executed for ETH/USDT,402.2311950982112,USDT,trading_engine,
2025-06-19T14:45:15.877185+00:00,trade_order_placed,medium,user_001,673c6d11-833f-43dc-b776-bc433f865bc5,,Coinbase,ETH/USDT,BUY 0.009009 ETH/USDT at 44597.91,Trade trade_order_placed for ETH/USDT,401.78257119,USDT,trading_engine,
2025-06-19T14:43:10.099372+00:00,api_request_failed,low,,2752c604-a36c-416f-929d-aed1911cb6cb,,,,Api Request Failed,API request: DELETE /api/v1/cancel,,,system,
2025-06-19T14:43:10.098867+00:00,api_request_made,low,,2752c604-a36c-416f-929d-aed1911cb6cb,,,,Api Request Made,API request: GET /api/v1/trades,,,system,
2025-06-19T14:43:10.098273+00:00,api_request_made,low,,2752c604-a36c-416f-929d-aed1911cb6cb,,,,Api Request Made,API request: GET /api/v1/balance,,,system,
2025-06-19T14:43:10.097720+00:00,api_request_made,low,,2752c604-a36c-416f-929d-aed1911cb6cb,,,,Api Request Made,API request: POST /api/v1/orders,,,system,
2025-06-19T14:43:10.096790+00:00,system_error,high,,2752c604-a36c-416f-929d-aed1911cb6cb,,,,System Error,Database connection timeout,,,system,
